@relation firstset
@attribute KDA_z[0] real
@attribute KDA_z[1] real
@attribute KDA_z[2] real
@attribute KDA_y[0] real
@attribute KDA_y[1] real
@attribute KDA_y[2] real
@attribute KDA_x[0] real
@attribute KDA_x[1] real
@attribute max_z_sample real
@attribute max_y_sample real
@attribute max_x_sample real
@attribute min_z_sample real
@attribute min_y_sample real
@attribute min_x_sample real
@attribute sum_z_sample real
@attribute sum_y_sample real
@attribute sum_x_sample real
@attribute abssum_z_sample real
@attribute abssum_y_sample real
@attribute abssum_x_sample real
@attribute std_z_sample real
@attribute std_y_sample real
@attribute std_x_sample real
@attribute var_z_sample real
@attribute var_y_sample real
@attribute var_x_sample real
@attribute euc_z_sample real
@attribute euc_y_sample real
@attribute euc_x_sample real
@attribute zcr_z_sample real
@attribute zcr_y_sample real
@attribute zcr_x_sample real
@attribute mean_z_sample real
@attribute mean_y_sample real
@attribute mean_x_sample real
@attribute absmean_z_sample real
@attribute absmean_y_sample real
@attribute absmean_x_sample real
@attribute mag_mean_sample real
@attribute mag_var_sample real
@attribute KDA_x[2] real
@attribute label {1,2,3,4}

@data
1, -677.2820823950328, -960.5787054206517, 8.157203907750308, -461.9881651255906, 188.7851878645618, -787.0622726436279, 1570.4436439073784, 1905.07184797759, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 0.0, 7.1e-322, 2.134e-321, 2.77e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.574468085106383, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 530.4464035442256, -536.9131559298572, -718.541252697089, -10.82891344547572, 31.118634015293296, 921.1621120195505, 607.954992005995, -1580.6182285740683, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 361.1038544139103, -1004.0066467979923, -618.2465918126256, 93.31172241594868, 209.5535018267483, 1191.4677917660254, 1104.2140969784773, -1451.9453902259218, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 761.955981555385, -220.83915701930567, -88.80397967516892, 265.82415099067487, -194.44010304129546, 98.2218204855736, 809.3481536413344, -837.0756449651537, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 797.0760611057012, 437.1760165501129, -83.0641862287636, 46.13812278787438, 169.8797560812833, -10.365989687719612, -948.9903268261073, -1534.6313644936026, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 419.4986997161809, -1227.1439400277372, -225.58613805905858, 276.53370752982073, 3.0817639409797337, 583.727005377139, 1938.9681776801804, -778.0098912428542, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 0.0, 7.1e-322, 2.134e-321, 2.77e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.574468085106383, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 73.19691236993962, -248.72016021029918, -129.74841612784923, -263.33607385904503, 3.715695634069956, 453.10436430441507, -299.5038123097515, -1080.4553396844785, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 249.03678529615615, -1087.0659689965883, -526.7723597603131, 190.42681977936013, -685.8613851721336, 271.4039635416609, 1860.890999971983, 374.8084345074695, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 393.826150858339, -241.31246710771129, -133.82226370959683, -70.232675591507, -304.36975200249793, 248.30044174827844, 854.8504292261831, -120.14584630612698, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -1753.7976798349778, -792.1306977852832, -21.58430480269859, 118.34002673267379, 256.2808332921635, 258.1619139728018, 693.4335281489073, 1408.31150880562, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
