@relation trainset
@attribute Z1 real
@attribute Y1 real
@attribute X1 real
@attribute Z2 real
@attribute Y2 real
@attribute X2 real
@data
-1.32992815, 0.889103, -0.55600769, -0.58970947, -0.11269692, -1.47040726
-2.00747313, 1.77679493, 0.06485918, 0.75888011, 0.01460923, -2.27681606
-1.95707646, -1.13560007, 0.65554682, 0.37552994, -0.14624942, -1.04762676
-0.94965315, -2.95289226, 0.64434786, -1.04186545, -1.17899487, -0.76884013
-0.65287598, -3.14071388, 0.72398929, -0.50660032, 0.26003462, -1.06852557
0.4714707, -3.06131791, 0.63457409, -0.35453562, 1.80870787, -0.82321646
0.51432358, 0.89173369, 0.37275569, -0.93424179, 1.78961619, -3.55562261
-1.68872559, 2.55695382, 0.47463556, -0.4934228, 2.2721684, -1.76829128
-3.67635183, -0.66819979, 0.38965279, -0.92996544, -0.32881858, -0.78162887
-2.49516956, -0.20187053, -0.05290724, -1.00205959, -0.31797942, -1.51754429
-0.76209155, 0.338283, -0.10415679, -1.28693731, -0.29279923, -0.88101812
-1.25002832, -2.34347115, 0.11085883, -0.71816714, -0.18348408, -1.2130767
-0.06864292, -2.59240732, 0.09478843, -0.06807979, 0.2372578, -0.39541261
0.52268813, -2.73847904, -0.21106495, 0.35952381, -0.76016763, -0.13332159
-0.35877369, -1.80557938, -0.59923291, 0.34061791, -0.33873537, -1.55251089
-1.18282978, -0.60857603, -0.66288021, -1.36226758, 0.22244212, -2.69936732
-1.24512467, -0.11153897, -0.87574862, -0.60441607, 1.90738084, -2.39075936
-0.65127226, 0.36425477, -0.86088363, -0.63269371, 1.61193707, -1.96281874
-2.19023354, 0.95294414, -0.13405659, -1.2877194, 2.09474999, -1.81610292
-2.21900018, 1.0487091, 0.08629737, -0.97335967, 1.0207346, -1.65502901
-1.50375335, -1.97593726, 0.21564385, -1.01053337, -0.85076148, -1.37770932
-0.85192236, -3.1597969, 0.56291173, -1.28924951, -0.67447605, -0.38590563
0.13505982, -3.25658258, 0.66693897, -1.0483219, -0.14379307, -1.36230242
0.73321279, -2.5083675, 0.41158067, 0.85807452, -0.20033663, -1.52072842
1.14287043, 0.99425785, -0.08949337, -0.19335746, -0.50423332, -0.68690619
-2.95499708, 3.48242777, 1.60504779, -0.39121093, -0.21775142, -1.85124305
-4.40817029, 1.45643788, 3.04784798, 0.01047375, 0.47387264, -1.34074558
-0.83807551, 0.02302278, 0.52176299, -0.78356667, 2.39865972, -2.26424924
-0.91125766, 0.16540205, -0.20893243, -0.4992658, 1.96400024, -2.21338709
-0.38145652, -2.09101661, 0.25977895, -1.33915084, 1.01968284, -0.76087591
0.38745207, -1.75248928, -1.12512598, -0.91517578, -0.01508846, -1.25891779
-0.43505562, -0.8572389, -1.15220913, -1.308923, -0.46363846, -0.82943441
0.0939896, -0.78754886, -1.78336565, -0.7127957, -0.23593747, -1.31784222
-0.4296655, -0.60070946, -1.99477323, 0.52972015, -0.38664835, -1.57223925
-0.15801423, -0.10502772, -1.45033484, 0.13804367, -0.49358001, -1.57204224
-0.93221623, 0.2253981, -1.4594734, 0.53413385, -0.48162414, -1.44979022
-1.94752372, 0.94803788, -0.49708199, -0.55762816, 0.04102268, -1.30123899
-1.57244306, 1.72451118, -0.19894387, -0.9766144, 1.38309031, -1.64369316
-1.05218702, -0.69513157, -0.23375961, -0.7702788, 2.46046354, -2.19940533
0.91319695, -0.97818262, 0.7290475, -0.87560217, 1.5308577, -2.0673949
2.05361489, -0.00108838, 1.320517, -0.86530572, 0.52064528, -1.53092335
1.28141761, 0.8071146, 1.10567995, -0.85047599, -1.00287276, -1.59632046
-0.55716533, 1.13047525, 1.7503384, -0.95807005, -0.7287274, -1.20083459
-2.91364599, 0.17978679, 2.21377951, -1.14800163, 0.04044877, -1.33280323
-3.18524467, 1.00089428, 0.922927, 0.8405282, 0.09808198, -1.5801536
-1.61434787, 1.42472034, 0.40280287, 0.29598775, -0.32794292, -2.05960251
-2.35906123, 0.34536594, 0.52378901, -0.66984537, -0.86329039, -0.71866322
-1.45423347, -1.23781768, -0.5634799, 0.02841648, 1.21945347, -1.09136161
0.50453121, -1.36204759, -0.63567413, -0.53529397, 1.91301325, -3.09576912
-0.17441253, -0.48794536, -1.07699193, -0.19918896, 1.82521077, -1.79395805
-0.37364617, -0.30004635, -1.74993151, -1.05634664, 1.23148388, -1.01274362
0.8139857, -0.62984876, -1.65766649, -1.1126295, -0.12558871, -0.93619628
0.94048377, -0.50452278, -1.79526181, -0.82730927, -0.41768544, -0.70185059
-0.64195894, 0.82249663, -0.60956838, -1.50826465, -0.28049966, -2.05962493
-1.37083109, 1.24837295, -0.12291323, -0.77171471, 0.13867595, -1.98336719
-0.96577063, -0.50762822, 0.00113866, 0.29323645, -0.41686508, 0.50661354
-0.18924753, -1.78069157, 0.2374178, 0.33244052, 0.01803793, -1.21491229
0.35319618, -1.00571183, 0.36822713, -0.31167271, -0.34232506, -2.62115472
0.48118723, 0.44859595, 0.92351024, -0.70925526, 0.80387827, -0.95908046
-1.23471147, 1.19917093, 1.55044734, -0.84765854, 2.71362094, -1.67676962
-2.30653827, 0.05787226, 1.92462848, -0.68616343, 1.31802215, -2.025831
-1.65281477, -0.27505765, 1.3711305, -1.0451134, 0.75499699, -1.84464435
-1.86062786, 0.82934159, 1.11035277, -0.6553671, -1.02984113, -1.13992909
-1.24941053, 0.77911905, 0.47660144, -1.14381667, -0.89599848, -1.18152795
-0.59072966, -0.57308165, -0.13866998, -1.02483012, 0.5603029, -1.71593334
-0.12678278, -1.53835489, -0.06425835, 1.30119323, -0.09507344, -1.80593102
-0.30833396, -0.93465161, -0.42657693, 0.20229589, -0.29852489, -2.19429645
-0.60675115, -0.99045796, -1.21690571, -0.8949058, -0.56000968, -0.33070257
0.28859989, -0.60793672, -1.4106028, 0.26407737, 0.80952113, -0.80338041
0.06140789, -0.02704354, -1.6065533, -0.61097372, 1.87220586, -2.85289091
-0.35200795, -1.28051557, -2.0050137, -0.4040648, 1.77574108, -1.45849338
-0.67609233, 0.45522009, -1.87655314, -0.64299054, 0.93509067, -0.64734297
-0.82733794, 1.5449084, -1.28386536, -1.47939548, -0.31927091, -1.09135678
-1.08455541, -1.06775083, 0.95341288, -0.9736442, 0.0245605, -1.47586513
-1.06764549, -0.34865197, 1.58466486, -1.36691584, 0.00076635, -1.72115544
0.64200104, -1.16402742, 1.33282485, 0.29881556, 0.00134818, 0.08858783
1.63959933, -2.41056526, 1.5905854, 0.88092726, -0.31521902, -0.79017659
1.14029153, -0.49859627, -0.09510345, -0.20024361, -0.57248472, -2.66466475
-1.3649436, 0.75238559, -0.73666032, -0.26800825, 0.73762532, -0.97613584
-2.12936614, 1.47175712, -1.00336716, -0.65881938, 1.47676477, -1.44471929
